n,variant,type,opt_level,flops_per_sec
147,jki,float,O0,5.98874e+08
147,kij,double,O0,6.04322e+08
147,jki,double,O0,5.97115e+08
148,kij,float,O0,6.42107e+08
148,jki,float,O0,6.10232e+08
148,kij,double,O0,6.03886e+08
148,jki,double,O0,5.97656e+08
149,kij,float,O0,6.42979e+08
149,jki,float,O0,6.27215e+08
149,kij,double,O0,6.25901e+08
149,jki,double,O0,6.27254e+08
150,kij,float,O0,6.44373e+08
150,jki,float,O0,6.08435e+08
150,kij,double,O0,6.19014e+08
150,jki,double,O0,6.2002e+08
151,kij,float,O0,6.50269e+08
151,jki,float,O0,6.26819e+08
151,kij,double,O0,6.13982e+08
151,jki,double,O0,6.36322e+08
152,kij,float,O0,6.72362e+08
152,jki,float,O0,6.32714e+08
152,kij,double,O0,6.35133e+08
152,jki,double,O0,6.29238e+08
153,kij,float,O0,6.50107e+08
153,jki,float,O0,6.21619e+08
153,kij,double,O0,6.05523e+08
153,jki,double,O0,6.1363e+08
154,kij,float,O0,6.66475e+08
154,jki,float,O0,5.97911e+08
154,kij,double,O0,6.17027e+08
154,jki,double,O0,6.13208e+08
155,kij,float,O0,6.54959e+08
155,jki,float,O0,6.1018e+08
155,kij,double,O0,6.11598e+08
155,jki,double,O0,6.23712e+08
156,kij,float,O0,6.62214e+08
156,jki,float,O0,6.19547e+08
156,kij,double,O0,6.1462e+08
156,jki,double,O0,6.24213e+08
157,kij,float,O0,6.51641e+08
157,jki,float,O0,6.10415e+08
157,kij,double,O0,6.03246e+08
157,jki,double,O0,6.1013e+08
158,kij,float,O0,6.4628e+08
158,jki,float,O0,6.1108e+08
158,kij,double,O0,6.10886e+08
158,jki,double,O0,6.06236e+08
159,kij,float,O0,6.41846e+08
159,jki,float,O0,6.03609e+08
159,kij,double,O0,6.05579e+08
159,jki,double,O0,6.10211e+08
160,kij,float,O0,6.77665e+08
160,jki,float,O0,6.04093e+08
160,kij,double,O0,6.20083e+08
160,jki,double,O0,6.04703e+08
161,kij,float,O0,6.4389e+08
161,jki,float,O0,6.02887e+08
161,kij,double,O0,6.15097e+08
161,jki,double,O0,6.05027e+08
162,kij,float,O0,6.40428e+08
162,jki,float,O0,6.08239e+08
162,kij,double,O0,6.13375e+08
162,jki,double,O0,6.08483e+08
163,kij,float,O0,6.67806e+08
163,jki,float,O0,6.12833e+08
163,kij,double,O0,6.05431e+08
163,jki,double,O0,5.95422e+08
164,kij,float,O0,6.55647e+08
164,jki,float,O0,6.00929e+08
164,kij,double,O0,6.21365e+08
164,jki,double,O0,6.03705e+08
165,kij,float,O0,6.38804e+08
165,jki,float,O0,6.02378e+08
165,kij,double,O0,6.3096e+08
165,jki,double,O0,6.10932e+08
166,kij,float,O0,6.59287e+08
166,jki,float,O0,6.19011e+08
166,kij,double,O0,6.09646e+08
166,jki,double,O0,5.97706e+08
167,kij,float,O0,6.29668e+08
167,jki,float,O0,5.96472e+08
167,kij,double,O0,6.24661e+08
167,jki,double,O0,6.03376e+08
168,kij,float,O0,6.28222e+08
168,jki,float,O0,5.87504e+08
168,kij,double,O0,6.2437e+08
168,jki,double,O0,6.0053e+08
169,kij,float,O0,6.30247e+08
169,jki,float,O0,5.95371e+08
169,kij,double,O0,5.99919e+08
169,jki,double,O0,5.85853e+08
170,kij,float,O0,6.33805e+08
170,jki,float,O0,5.99482e+08
170,kij,double,O0,6.08812e+08
170,jki,double,O0,5.96717e+08
171,kij,float,O0,6.59493e+08
171,jki,float,O0,6.1337e+08
171,kij,double,O0,5.8983e+08
171,jki,double,O0,5.81366e+08
172,kij,float,O0,6.45229e+08
172,jki,float,O0,6.20533e+08
172,kij,double,O0,6.08709e+08
172,jki,double,O0,5.78021e+08
173,kij,float,O0,6.13744e+08
173,jki,float,O0,6.13875e+08
173,kij,double,O0,6.13867e+08
173,jki,double,O0,5.93551e+08
174,kij,float,O0,6.32848e+08
174,jki,float,O0,5.97021e+08
174,kij,double,O0,5.92822e+08
174,jki,double,O0,5.92744e+08
175,kij,float,O0,6.27204e+08
175,jki,float,O0,5.95304e+08
175,kij,double,O0,6.1989e+08
175,jki,double,O0,6.00756e+08
176,kij,float,O0,6.8898e+08
176,jki,float,O0,6.10662e+08
176,kij,double,O0,6.13111e+08
176,jki,double,O0,5.86558e+08
177,kij,float,O0,6.28185e+08
177,jki,float,O0,5.89891e+08
177,kij,double,O0,6.03248e+08
177,jki,double,O0,6.00505e+08
178,kij,float,O0,6.26796e+08
178,jki,float,O0,5.93955e+08
178,kij,double,O0,6.37745e+08
178,jki,double,O0,5.90692e+08
179,kij,float,O0,6.25042e+08
179,jki,float,O0,5.96042e+08
179,kij,double,O0,6.16613e+08
179,jki,double,O0,5.99302e+08
180,kij,float,O0,6.32193e+08
180,jki,float,O0,5.95504e+08
180,kij,double,O0,6.20574e+08
180,jki,double,O0,6.2343e+08
181,kij,float,O0,6.47285e+08
181,jki,float,O0,6.08233e+08
181,kij,double,O0,6.05146e+08
181,jki,double,O0,5.95469e+08
182,kij,float,O0,6.36408e+08
182,jki,float,O0,6.01175e+08
182,kij,double,O0,6.00869e+08
182,jki,double,O0,6.0439e+08
183,kij,float,O0,6.29e+08
183,jki,float,O0,5.93616e+08
183,kij,double,O0,6.10349e+08
183,jki,double,O0,6.0037e+08
184,kij,float,O0,6.4552e+08
184,jki,float,O0,5.97671e+08
184,kij,double,O0,6.1368e+08
184,jki,double,O0,6.10261e+08
185,kij,float,O0,6.60306e+08
185,jki,float,O0,5.89784e+08
185,kij,double,O0,6.07497e+08
185,jki,double,O0,6.03967e+08
186,kij,float,O0,6.45738e+08
186,jki,float,O0,6.15519e+08
186,kij,double,O0,6.18204e+08
186,jki,double,O0,5.95033e+08
187,kij,float,O0,6.43474e+08
187,jki,float,O0,5.89086e+08
187,kij,double,O0,6.08424e+08
187,jki,double,O0,5.80081e+08
188,kij,float,O0,6.13144e+08
188,jki,float,O0,5.78231e+08
188,kij,double,O0,5.84189e+08
188,jki,double,O0,6.07486e+08
189,kij,float,O0,6.17639e+08
189,jki,float,O0,5.95508e+08
189,kij,double,O0,6.05452e+08
189,jki,double,O0,5.91402e+08
190,kij,float,O0,6.31779e+08
190,jki,float,O0,5.93002e+08
190,kij,double,O0,6.14911e+08
190,jki,double,O0,5.93342e+08
191,kij,float,O0,6.68496e+08
191,jki,float,O0,5.85882e+08
191,kij,double,O0,6.06435e+08
191,jki,double,O0,5.9881e+08
192,kij,float,O0,6.32294e+08
192,jki,float,O0,5.98824e+08
192,kij,double,O0,6.31555e+08
192,jki,double,O0,5.71892e+08
193,kij,float,O0,6.28979e+08
193,jki,float,O0,5.92963e+08
193,kij,double,O0,5.98204e+08
193,jki,double,O0,6.02267e+08
194,kij,float,O0,6.48111e+08
